time,year,month,reserve,dry_kg,wet_kg,total_kg
3/31/20,2020,3,Río Guadalmedina,0,0,0
4/30/20,2020,4,Sierra Plana de la Borbolla,663.8010417,-3.60E-12,663.8010417
4/30/20,2020,4,Rias occidentales y Duna de Oyambre,823.3770841,-6.90E-12,823.3770841
4/30/20,2020,4,Dunas de Liencres y Estuario del Pas,459.0185709,-2.40E-12,459.0185709
4/30/20,2020,4,Balsa del Pulguer,14.99492457,-3.31E-13,14.99492457
4/30/20,2020,4,Montes del Cerrato,3810.024063,-4.80E-11,3810.024063
4/30/20,2020,4,Basses de l'Albera,2734.990853,-7.86E-12,2734.990853
4/30/20,2020,4,Les Gavarres,59268.02177,-2.81E-10,59268.02177
4/30/20,2020,4,Prat de Cabanes i Torreblanca,1135.579102,-1.42E-11,1135.579102
4/30/20,2020,4,Urkiola,13684.56014,-3.66E-11,13684.56014
4/30/20,2020,4,Alto Navia,31.77366282,-9.83E-13,31.77366282
4/30/20,2020,4,Badina Escudera,-4.83270504,1.07E-13,-4.83270504
4/30/20,2020,4,LA GUARGUERA,391.532383,-4.83E-12,391.532383
4/30/20,2020,4,TURBERAS DE ACUMUER,0,0,0
4/30/20,2020,4,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
4/30/20,2020,4,Plans de Sió,2397.229163,-2.54E-11,2397.229163
4/30/20,2020,4,Serra d'en Galceràn,2392.995281,-2.83E-11,2392.995281
4/30/20,2020,4,Ullals del riu Verd,0,0,0
4/30/20,2020,4,Río Guadalmedina,0,0,0
5/31/20,2020,5,Sierra Plana de la Borbolla,939.5349012,-1.78E-11,939.5349012
5/31/20,2020,5,Rias occidentales y Duna de Oyambre,736.8735908,-1.28E-11,736.8735908
5/31/20,2020,5,Dunas de Liencres y Estuario del Pas,1316.246887,-5.35E-12,1316.246887
5/31/20,2020,5,Balsa del Pulguer,426.638911,-1.97E-12,426.638911
5/31/20,2020,5,Montes del Cerrato,8448.593262,-9.86E-11,8448.593262
5/31/20,2020,5,Basses de l'Albera,959.5962603,-4.15E-12,959.5962603
5/31/20,2020,5,Les Gavarres,68331.87217,-2.10E-10,68331.87217
5/31/20,2020,5,Prat de Cabanes i Torreblanca,580.742531,177.1074807,757.8500116
5/31/20,2020,5,Urkiola,19450.08831,-5.95E-11,19450.08831
5/31/20,2020,5,Alto Navia,-5.032676956,2.06E-13,-5.032676956
5/31/20,2020,5,Badina Escudera,201.7997622,-9.32E-13,201.7997622
5/31/20,2020,5,LA GUARGUERA,238.2901717,-4.36E-12,238.2901717
5/31/20,2020,5,TURBERAS DE ACUMUER,0,0,0
5/31/20,2020,5,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
5/31/20,2020,5,Plans de Sió,6607.343462,3522.088716,10129.43218
5/31/20,2020,5,Serra d'en Galceràn,5010.988249,10765.45337,15776.44162
5/31/20,2020,5,Ullals del riu Verd,0,0,0
5/31/20,2020,5,Río Guadalmedina,0,0,0
6/30/20,2020,6,Sierra Plana de la Borbolla,1708.369281,-1.62E-11,1708.369281
6/30/20,2020,6,Rias occidentales y Duna de Oyambre,1255.089856,-1.37E-11,1255.089856
6/30/20,2020,6,Dunas de Liencres y Estuario del Pas,246.11459,-3.46E-12,246.11459
6/30/20,2020,6,Balsa del Pulguer,-16.91235909,2.10E-13,-16.91235909
6/30/20,2020,6,Montes del Cerrato,858.9435276,-1.15E-11,858.9435276
6/30/20,2020,6,Basses de l'Albera,453.1935195,-6.84E-12,453.1935195
6/30/20,2020,6,Les Gavarres,6462.666965,-1.73E-10,6462.666965
6/30/20,2020,6,Prat de Cabanes i Torreblanca,1932.694702,-1.50E-11,1932.694702
6/30/20,2020,6,Urkiola,10949.3934,-2.70E-11,10949.3934
6/30/20,2020,6,Alto Navia,-35.14929798,7.72E-13,-35.14929798
6/30/20,2020,6,Badina Escudera,-10.22866566,1.27E-13,-10.22866566
6/30/20,2020,6,LA GUARGUERA,272.3277691,-4.16E-12,272.3277691
6/30/20,2020,6,TURBERAS DE ACUMUER,0,0,0
6/30/20,2020,6,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
6/30/20,2020,6,Plans de Sió,2970.284847,-4.62E-11,2970.284847
6/30/20,2020,6,Serra d'en Galceràn,8814.030418,-7.63E-11,8814.030418
6/30/20,2020,6,Ullals del riu Verd,0,0,0
